product,brand,reviewer,review_type,skin_type,acne_prone,tone,undertone,shade,stayed_matte,wear_hours,broke_out,oxidized,would_repurchase,overall,is_sponsored,key_quote
Catrice HD Liquid Coverage,Catrice,Taylor Wynn,single_review,combination,yes,light,neutral,010 Light Beige,mostly,8,not_mentioned,yes,not_mentioned,positive,False,I love how it went on love the coverage the finish of it it's beautiful
Catrice HD Liquid Coverage,Catrice,Thrift Thick,single_review,oily,unknown,light,neutral,light beige,no,12,not_mentioned,no,not_mentioned,positive,False,I have gotten oily again here or a bit oily looking however please correct me if I'm wrong but my skin looks fantastic and by my skin I mean this foundation it looks so fresh and beautiful and natural and nice it has been lightweight throughout the day
Catrice HD Liquid Coverage,Catrice,StephiRaye,single_review,combination,yes,unknown,unknown,40 Warm Beige,mostly,8,no,no,yes,positive,False,this foundation is so good you guys if you want to try it out it's one of the best foundations I've ever tried
Catrice HD Liquid Coverage,Catrice,Zoey Noel,single_review,dry,unknown,medium,warm,latte macchiato beige 060,mostly,9,not_mentioned,yes,yes,positive,False,For the most part though it held up really well my only dilemma is that i feel like the foundation oxidized throughout the day...other than those two things where it just kind of rubbed off in a few places...it held up really well and it looks really good on the skin still.
Catrice HD Liquid Coverage,Catrice,Ivory Cherry,single_review,oily,yes,unknown,neutral,neutral toffee (046),mostly,10,not_mentioned,not_mentioned,not_mentioned,positive,False,"Overall I really like how the foundation is wearing... it looks pretty good... it looks pretty good, it's holding together pretty well after I blotted it... it looks pretty much perfect in my t-zone... I really like how everything's looking."
Catrice HD Liquid Coverage,Catrice,Ashley Roark,comparison,combination,yes,light,warm,sand beige,mostly,4.5,not_mentioned,no,not_mentioned,positive,False,Performance-wise the way it applies the coverage the way everything with the new one is the exact same as the old one you can't tell from side to side that I have a different foundation on however I will say I am abnormally shiny
Charlotte Tilbury Airbrush Flawless,Charlotte Tilbury,Thrift Thick,single_review,oily,yes,medium,neutral,3 neutral,no,6,yes,not_mentioned,not_mentioned,mixed,False,it smells good but my skin doesn't like it I can already tell you I am already starting to see some forehead pimples that I am pretty sure are because of this stupid fragrance in this foundation
Charlotte Tilbury Airbrush Flawless,Charlotte Tilbury,Kirsty Lo,comparison,oily,yes,light,warm,"2W2 Rattan (Estee Lauder), 5.5 (Charlotte Tilbury)",mostly,14,not_mentioned,no,yes,positive,False,i think the charlotte tilbury foundation wins this battle just by a little bit purely because of the coverage it's the coverage that has won this battle for me hands down and i think i've got a new favorite foundation
Charlotte Tilbury Airbrush Flawless,Charlotte Tilbury,Magdaline Janet,single_review,oily,unknown,unknown,neutral,7.5 neutral,mostly,12,not_mentioned,yes,not_mentioned,positive,False,"""at this point this is while i was all nasty and sweaty the foundation looked really really good well put together"""
Charlotte Tilbury Airbrush Flawless,Charlotte Tilbury,Kirsty Lo,comparison,combination,yes,medium,olive,"5.5 neutral (Charlotte Tilbury), Stromboli (NARS)",mostly,12,not_mentioned,yes,not_mentioned,positive,False,the winner would definitely be the charlotte tilbury airbrush flawless foundation purely because it controlled my oils all day and night and it gave my skin this beautiful flawless filtered effect on my skin
Charlotte Tilbury Airbrush Flawless,Charlotte Tilbury,Kirsty Lo,comparison,oily,yes,medium,olive,5.5 neutral (Charlotte Tilbury),mostly,12,no,yes,not_mentioned,positive,False,The Clinique Even Better clinical serum Foundation is absolutely beautiful on my skin even after 12 hours of work controlled my oils so so well and the fact that it is a full coverage Foundation it's still very lightweight and comfortable and it's definitely suitable to wear every day.
Charlotte Tilbury Airbrush Flawless,Charlotte Tilbury,Nina Ubhi Beauty & Fashion,single_review,combination,unknown,medium,neutral,7 Neutral,mostly,3,not_mentioned,no,not_mentioned,positive,True,"I'm really getting this product into the brush... I love it. I just love how it does actually cover everything up, but it's not kind of... I'm really liking this, guys. Like even the spray on the sponge is not much different to the other spray... Honestly, best brow wax ever. Wow, this foundation looks so good. I'm interested to go and see it in daylight... very lightweight. It doesn't feel heavy. It doesn't feel tight."
Clinique Even Better,Clinique,Magdaline Janet,single_review,oily,unknown,medium,warm,56 Cashew,mostly,12,not_mentioned,yes,not_mentioned,mixed,False,I feel like the skin does look nice the foundation is a very very lightweight foundation I think that my skin looks a little bit on the oily side but it's not a like matte or full coverage foundation it's just like a skin hugging loving foundation
Clinique Even Better,Clinique,Sasha Stockwell,single_review,oily,yes,light,unknown,cn08 linen,mostly,10,no,no,yes,positive,False,"""Overall i'm pretty pleased with this foundation i am pleasantly surprised"""
Clinique Even Better,Clinique,Samantha Schuerman,single_review,oily,yes,unknown,unknown,wn48 oat,no,4,not_mentioned,not_mentioned,not_mentioned,mixed,False,when you first put it on you literally look like a million bucks like it's so gorgeous on the skin ... but then for some reason on me it was just not looking good after about four or five hours
Clinique Even Better,Clinique,Thrift Thick,single_review,oily,unknown,unknown,unknown,CN 18 Cream Whip,mostly,11.5,not_mentioned,no,not_mentioned,mixed,False,this foundation wasn't super great for me but it has its pluses in mind I just pros and cons
Clinique Even Better,Clinique,Steff’s Beauty Stash,single_review,normal oily,unknown,medium,warm,light warm 1,mostly,10,not_mentioned,no,not_mentioned,positive,False,"Overall, I would say this foundation has done a great job at helping me control my oil. Everything looks good. Like the coverage has definitely held up."
