id_slug,name,price,currency,availability,rating,review_count,description_snip
1/red-carpet,Red Carpet,27.00,USD,InStock,4.66,444,Bounce back from dull skin and hair with these vitamins for glowing skin and shiny hair. This combo supports healthy hair follicles and radiant skin.
2/daily-cleanse,Daily Cleanse,27.00,USD,InStock,4.59,2493,"This supplement for clear skin has 14 detoxifiers, including chlorella &amp; spirulina, that address breakouts at the source. Help cleanse and detox the body fr"
3/runway-ready,Red Carpet,27.00,USD,InStock,4.66,444,Bounce back from dull skin and hair with these vitamins for glowing skin and shiny hair. This combo supports healthy hair follicles and radiant skin.
4/omg-omega-the-great,OMG! Omega the Great,33.00,USD,InStock,4.68,435,"Support an even skin tone, heart, and brain health with omega-3 supplements for skin. The high-quality fish oil provides omega-3 fatty acids with no fishy after"
5/big-chill,Big Chill,21.00,USD,InStock,4.62,369,"Our vitamins for stress use Rhodiola rosea to help balance adrenals. It&apos;s also an ideal supplement for focus, improving the body and mind’s stress response"
6/gut-instinct,Gut Instinct,27.00,USD,InStock,4.62,1207,"This probiotic supplement boosts gut health &amp; improves digestion, featuring 10 strains with 25 billion organisms that promote a healthy gut microbiome, rest"
7/uber-energy,Uber Energy,27.00,USD,InStock,4.33,735,"The ideal formula of vitamins for energy, adrenal support, and reduced fatigue, featuring B vitamins, and adaptogens ashwagandha, eleuthero, and Asian (panax) g"
8/here-comes-the-sun,Here Comes the Sun,15.00,USD,InStock,4.73,510,"This vegan vitamin D3 supplement helps your body absorb calcium, supports healthy bones, and benefits your immune system and mood. "
9/skinny-bird,Skinny Bird,40.00,USD,InStock,4.25,588,"Use this supplement to curb your appetite for healthy weight management. Features caralluma to help you feel fuller, longer and 5-HTP for mood."
10/ripped-rooster,Ripped Rooster,50.00,USD,InStock,4.25,588,The best fat burning supplement for weight management. Includes 7-Keto and green tea leaf to support healthy weight management and chromium for healthy blood su
11/base-control,Base Control,15.00,USD,InStock,4.63,577,"This women&apos;s multivitamin with iron contains 22 essential nutrients, plus iron to support women pre-menopause and fill the gaps in your diet and boost heal"
12/base-control-iron-free,Base Control - Iron Free,15.00,USD,InStock,4.53,72,"The ultimate multivitamin for women, containing 22 essential nutrients and formulated without iron. This vegan multivitamin helps to fill the gaps in your diet."
13/got-calcium,Got Calcium,15.00,USD,InStock,4.22,95,Calcium citrate with vitamin D promotes healthy bones and teeth. These vegan calcium supplements also contribute to bone density and blood circulation.
14/killer-nails,Killer Nails,12.00,USD,InStock,4.57,220,"Strengthen nails and hair with this high-potency vegan biotin supplement, an ideal hair and nail vitamin. Support nail and hair health for length and strength."
15/collagen-love,Collagen Love,40.00,USD,InStock,4.53,198,"Want firm skin and improved skin elasticty? Our collagen pills include premium collagen, hyaluronic acid, and vitamin C to minimize fine lines and wrinkles."
16/turn-back-time,Turn Back Time,40.00,USD,InStock,4.54,67,This unique anti-aging supplement with polypodium leucotomos helps get sun damaged skin under control and supports younger looking skin and an even skin tone.
17/arctic-repair,Arctic Repair,60.00,USD,InStock,4.51,70,Help reduce wrinkles with anti-aging supplements that fight free radical damage. Lingonberry seed oil helps increase skin elasticity and hydration.
18/beauty-zzzz,Beauty zzZz,12.00,USD,InStock,4.61,262,"Can&apos;t fall asleep? This natural sleep aid with melatonin, vitamin B6, and calcium will help you fall asleep fast and helps adjust your internal body clock."
19/moody-bird,Hormone Balance,27.00,USD,InStock,4.75,1193,"Use PMS supplements to balance hormones and manage symptoms of PMS like cramps, mood swings, and irritability. Star ingredients like donq quai and chasteberry o"
20/air-patrol,Air Patrol,12.00,USD,InStock,4.71,63,Get supplements to help boost the immune system and support the skin barrier and lungs. Esterified vitamin C is one of the best vitamins for immune system suppo
21/wing-man,Wing Man,27.00,USD,InStock,4.64,163,"With liver supplements for detox support, you can help flush the liver of toxins. Milk thistle, dandelion, and artichoke leaf support healthy liver function."
22/b12-turbo,B12 Turbo,12.00,USD,InStock,4.51,200,Our vegan B12 supplement is ideal for vegetarians and vegans. B12 as methylcobalamin boosts energy and supports nervous system function.
