Product ID,Family ID,SKU,Title,Description,VariantName,VariantDescription,EAN,UPC,URL,Category,Base Image,Extra Image 1,Extra Image 2,Extra Image 3,Extra Image 4,Extra Image 5,Price,Sale Price,Has Inventory,Add to cart button present,Avg Review Rating,1 Star,2 Star,3 Star,4 Star,5 Star
MP_125560136,A00012688,100000101,Classic Chainsaw Carry Case,"Husqvarna orange chainsaw carrying case keeps sharp chain covered and protects saw from damage during transport. Double walled for extra durability with a tab for padlock security. Compartments for chain saw tool and oil storage.  Fits models 36, 41, 42 ,45, 49, 55, 55 Rancher, 242, 246, 254, 340, 345, 350, 351, 353 and 346XP.","100 00 01-01 (CARRYING CASE ""CLASSIC"" SINGLE)",Classic Carry Case US,,705788220021,https://www.husqvarna.com/us/bags-and-storage/classic-chainsaw-carry-case/?article=100000101,Bags and Storage,https://www-static-nw.husqvarna.com/-/images/aprimo/husqvarna/chainsaws/photos/studio/h/h410/11/h410-1164.png?v=142ced9cc334639&format=PNG_SQUARE_CONTAIN_XXL,NA,NA,NA,NA,NA,57.99,NA,Yes,Yes,4.4,2,0,0,1,12
MP_125560135,A00012948,100000107,Powerbox™ Chainsaw Carrying Case,"Stackable carrying case design to hold Husqvarna chain saws from model 136 up to and including the 372XP and 576XP as well as securely holding filing equipment, filing vise, scrench, spark plug, 2-Stroke oil, Bar & Chain oil and Operator's Manual.  HDPE (High Density Polyethylene) Double wall construction. ""Husky leash"" system for a secure fit and to protect the saw. Comes with an 18"" to 20"" scabbard.",100 00 01-07 (CARRYING CASE POWER BOX Powerbox Assy),Powerbox™- Fits all Husqvarna saws from the 136/137 up to and including the 372 XP® and new 575 XP®.,,705788501526,https://www.husqvarna.com/us/bags-and-storage/powerbox-chainsaw-carrying-case/?article=100000107,Bags and Storage,https://www-static-nw.husqvarna.com/-/images/aprimo/husqvarna/handheld-product-accessories/photos/studio/h110-0463.png?v=31fb3efbc334639&format=PNG_SQUARE_CONTAIN_XXL,https://www-static-nw.husqvarna.com/-/images/aprimo/husqvarna/handheld-product-accessories/photos/studio/h110-0465.png?v=d542b178c334639&format=PNG_SQUARE_CONTAIN_XXL,https://www-static-nw.husqvarna.com/-/images/aprimo/husqvarna/handheld-product-accessories/photos/studio/h110-0468.png?v=e2419bd9c334639&format=PNG_SQUARE_CONTAIN_XXL,https://www-static-nw.husqvarna.com/-/images/aprimo/husqvarna/handheld-product-accessories/photos/studio/h110-0464.png?v=40cf054cc334639&format=PNG_SQUARE_CONTAIN_XXL,NA,NA,72.99,NA,Yes,Yes,3.745,9,4,4,8,26
MP_125561432,A00012715,501234502,Legacy Protective Glasses,Celebrate Husqvarna’s legacy in these sleek modern sunglasses. Features a full-frame design for added protection and dual-mold rubber temple grips for improved stability. Available in Husqvarna orange and gray with a silver/mirror lens. 99.9% UV protection. Meets ANSI Standard Z87.1.,501 23 45-02 (PROTECTIVE GLASSES Legacy),HUS Protective Glasses - Legacy,7391736161916,805544981859,https://www.husqvarna.com/us/personal-protective-equipment/legacy-protective-glasses/?article=501234502,Personal Protective Equipment & Work Wear,https://www-static-nw.husqvarna.com/-/images/aprimo/husqvarna/visual-protection/photos/studio/h410-1097.png?v=63161bf5c334639&format=PNG_SQUARE_CONTAIN_XXL,https://www-static-nw.husqvarna.com/-/images/aprimo/husqvarna/garden-tractors/photos/action/h350-0839.png?v=1daa54c3c334639&format=PNG_SQUARE_CONTAIN_XXL,https://www-static-nw.husqvarna.com/-/images/aprimo/husqvarna/garden-tractors/photos/action/h350-0850.png?v=a89a19a5c334639&format=PNG_SQUARE_CONTAIN_XXL,https://www-static-nw.husqvarna.com/-/images/aprimo/husqvarna/visual-protection/photos/studio/h410-1098.png?v=9fd64b3dc334639&format=PNG_SQUARE_CONTAIN_XXL,https://www-static-nw.husqvarna.com/-/images/aprimo/husqvarna/hedge-trimmers/photos/action/ne-139293.png?v=5dfc5864c334639&format=PNG_SQUARE_CONTAIN_XXL,https://www-static-nw.husqvarna.com/-/images/aprimo/husqvarna/handheld-product-accessories/photos/action/un-056190.png?v=2bccd2d4c334639&format=PNG_SQUARE_CONTAIN_XXL,15.99,NA,No,Yes,5,0,0,0,0,1
MP_125561435,A00012724,501234504,Woodland Protective Glasses,Enter the woodlands in Husqvarna style. These sunglasses feature a sleek and modern full-frame design for added protection. Dual mold rubber temple grips for better stability. Camo frame color. Smoke lens color. 99.9% UV protection. Meets ANSI Standard Z87.1.,501 23 45-04 (PROTECTIVE GLASSES Woodland),HUS Protective Glasses - Woodland,,805544981835,https://www.husqvarna.com/us/personal-protective-equipment/woodland-protective-glasses/?article=501234504,Personal Protective Equipment & Work Wear,https://www-static-nw.husqvarna.com/-/images/aprimo/husqvarna/visual-protection/photos/studio/h410-1106.png?v=8be13a50c334639&format=PNG_SQUARE_CONTAIN_XXL,https://www-static-nw.husqvarna.com/-/images/aprimo/husqvarna/visual-protection/photos/studio/h410-1108.png?v=2813aa5ec334639&format=PNG_SQUARE_CONTAIN_XXL,https://www-static-nw.husqvarna.com/-/images/aprimo/husqvarna/xplorer-collection/photos/people-and-lifestyle/tp-641280.png?v=28f80d58c334639&format=PNG_SQUARE_CONTAIN_XXL,NA,NA,NA,18.99,NA,Yes,Yes,0,0,0,0,0,0
MP_125561439,A00012721,501234508,Sport Protective Glasses,Be ready for any competition at work or play in Husqvarna’s Sport Protective Glasses. These glasses offer extreme style and extreme performance and are incredibly lightweight for all-day wear. Polycarbonate lens provides 99.9% UV protection and meet ANSI Z87.1.,501 23 45-08 (PROTECTIVE GLASSES Sport),HUS Protective Glasses - Sport,,024761021104,https://www.husqvarna.com/us/personal-protective-equipment/sport-protective-glasses/?article=501234508,Personal Protective Equipment & Work Wear,https://www-static-nw.husqvarna.com/-/images/aprimo/husqvarna/visual-protection/photos/studio/h410-1125.png?v=185e794ec334639&format=PNG_SQUARE_CONTAIN_XXL,https://www-static-nw.husqvarna.com/-/images/aprimo/husqvarna/visual-protection/photos/studio/h410-1126.png?v=e9de97dac334639&format=PNG_SQUARE_CONTAIN_XXL,https://www-static-nw.husqvarna.com/-/images/aprimo/husqvarna/visual-protection/photos/studio/h410-1127.png?v=64e7a6f6c334639&format=PNG_SQUARE_CONTAIN_XXL,NA,NA,NA,12.99,NA,Yes,Yes,0,0,0,0,0,0
MP_125561442,A00012743,501234513,Classic Protective Glasses,Husqvarna safety glasses featuring a dielectric design with extended curved lens protection. Dual mold rubber temples and adjustable rubber nosepiece. Black frame color with indoor/outdoor lens color. 99.9% UV protection. Meets ANSI Standard Z87.1.,501 23 45-13 (PROTECTIVE GLASSES Classic),HUS Protective Glasses - Classic,7391736390460,805544981873,https://www.husqvarna.com/us/personal-protective-equipment/classic-protective-glasses/?article=501234513,Personal Protective Equipment & Work Wear,https://www-static-nw.husqvarna.com/-/images/aprimo/husqvarna/visual-protection/photos/studio/h410-1131.png?v=14b99614c334639&format=PNG_SQUARE_CONTAIN_XXL,https://www-static-nw.husqvarna.com/-/images/aprimo/husqvarna/visual-protection/photos/studio/h410-1132.png?v=334e389bc334639&format=PNG_SQUARE_CONTAIN_XXL,https://www-static-nw.husqvarna.com/-/images/aprimo/husqvarna/visual-protection/photos/studio/h410-1133.png?v=6adee92bc334639&format=PNG_SQUARE_CONTAIN_XXL,NA,NA,NA,5.99,NA,Yes,Yes,5,0,0,0,0,1
MP_125562675,MP_125562675,503235111,Spark plug,"NGK spark plug. Replace it regularly for an easy start, less wear and longer engine life.",503 23 51-11 (SPARK PLUG NGK BPMR7A),Spark plug NGK BPMR7A,7391736370592,805544655989,https://www.husqvarna.com/us/maintenance-tools/spark-plug/?article=503235111,Maintenance and Spare Parts,https://www-static-nw.husqvarna.com/-/images/aprimo/genuine-parts/spare-parts/photos/studio/h/h710/92/h710-9221.png?v=3e7e5f86c334639&format=PNG_SQUARE_CONTAIN_XXL,NA,NA,NA,NA,NA,5.99,NA,Yes,Yes,5,0,0,0,0,8
MP_125560477,A00012870,505031610,Titanium Force® Trimmer Line,"Take your trimming to the next level with Husqvarna’s Titanium Force® trimmer line. Suitable for all-around use on a wide range of applications, this round and dimpled line offers superior durability and improved flight attributes for smoother trimming and reduced noise. Available in .080-in, .095-in, .105-in, and .130-in gauges as well as ½ lb, 1 lb, 3 lb, or 5 lb spools.","505 03 16-10 (TRIMMER LINE Titanium Force .130"" x 150' (1 lb))",".130"" x 150'",7391883493403,705788505913,https://www.husqvarna.com/us/trimmer-lines/titanium-force-trimmer-line/?article=505031610,Trimmer Lines,https://www-static-nw.husqvarna.com/-/images/aprimo/husqvarna/trimmer-lines/photos/studio/hh-680923.png?v=84221a8ec334639&format=PNG_SQUARE_CONTAIN_XXL,https://www-static-nw.husqvarna.com/-/images/aprimo/husqvarna/trimmer-lines/photos/studio/h510-0575.png?v=79fd96a9c334639&format=PNG_SQUARE_CONTAIN_XXL,https://www-static-nw.husqvarna.com/-/images/aprimo/husqvarna/trimmer-lines/photos/studio/eq-820937.png?v=f7829fd7c334639&format=PNG_SQUARE_CONTAIN_XXL,NA,NA,NA,18.99,NA,Yes,Yes,4.536,3,0,0,1,24
MP_125560477,A00012870,505031611,Titanium Force® Trimmer Line,"Take your trimming to the next level with Husqvarna’s Titanium Force® trimmer line. Suitable for all-around use on a wide range of applications, this round and dimpled line offers superior durability and improved flight attributes for smoother trimming and reduced noise. Available in .080-in, .095-in, .105-in, and .130-in gauges as well as ½ lb, 1 lb, 3 lb, or 5 lb spools.","505 03 16-11 (TRIMMER LINE Titanium Force .130"" x 763' (5 lb))",".130"" x 763'",7391883493410,705788505920,https://www.husqvarna.com/us/trimmer-lines/titanium-force-trimmer-line/?article=505031611,Trimmer Lines,https://www-static-nw.husqvarna.com/-/images/aprimo/husqvarna/trimmer-lines/photos/studio/h510-0576.png?v=1058d800c334639&format=PNG_SQUARE_CONTAIN_XXL,https://www-static-nw.husqvarna.com/-/images/aprimo/husqvarna/trimmer-lines/photos/studio/h510-0575.png?v=79fd96a9c334639&format=PNG_SQUARE_CONTAIN_XXL,https://www-static-nw.husqvarna.com/-/images/aprimo/husqvarna/trimmer-lines/photos/studio/eq-820937.png?v=f7829fd7c334639&format=PNG_SQUARE_CONTAIN_XXL,NA,NA,NA,74.99,NA,Yes,Yes,4.536,3,0,0,1,24
MP_125896935,A00007487,505132812,"Automower® Standard Wheel Brush Kit (Non iQ Series) 315X, 415X, 435X AWD, 535 AWD","This brush refill for the wheel brush kit helps to easily and effectively clean grass from the wheels of Husqvarna Automower®. It also improves traction for a smoother cut.<br />Compatible with Automower® 315X, 415X, 435X AWD, and 535 AWD. <br />Not compatible with Automower® iQ Series, 560 EPOS, 580 EPOS, 580L EPOS, or 535AWD EPOS .",505 13 28-12 (BRUSH KIT Wheel brush refill kit P15/12/16/25 PROP),"Automower® Standard Wheel Brush Kit (Non iQ Series) 315X, 415X, 435X AWD, 535 AWD",7392930299726,193028023998,https://www.husqvarna.com/us/attachments/automower-standard-wheel-brush-kit-non-iq-series-315x415x-435x-awd-535awd/?article=505132812,Attachments,https://www-static-nw.husqvarna.com/-/images/aprimo/husqvarna/robotic-mower-accessories/photos/studio/h310-1133.png?v=b01ce612c334639&format=PNG_SQUARE_CONTAIN_XXL,NA,NA,NA,NA,NA,14.99,NA,Yes,Yes,0,0,0,0,0,0
